sprintId_y,totalNumberOfIssues,completedIssuesCount,completedIssuesEstimateSum,puntedIssues,SprintLength,sprintName,sprintState,avg_point_drift,llm_a3_result
90,32,17,71.0,7,13,Sprint 54,CLOSED,0.25,"{
  ""summary"": ""Sprint 54 achieved 53% completion rate with 17/32 issues completed; high velocity at 71.0 points."",
  ""key_insights"": [
    ""Velocity increased by 10 points from previous sprint, indicating improved team performance."",
    ""7 issues punted—review estimation for these tasks to improve accuracy."",
    ""Drift of 0.2 points suggests accurate planning, but further refinement is needed.""
  ],
  ""action_items"": [
    ""Retrospective on issue prioritization to minimize scope creep."",
    ""Discuss punt reasons in retro meeting to improve estimation."",
    ""Review and refine story points for future sprints.""
  ]
}"
92,72,25,102.0,22,13,Sprint 55,CLOSED,0.0,"{
  ""summary"": ""Sprint 55 delivered 25/72 issues, achieving 35% completion and maintaining a stable velocity."",
  ""key_insights"": [
    ""High punt rate (22 issues) indicates scope creep; review estimation for future sprints."",
    ""Velocity maintained at 102.0 points despite short sprint; stability is a positive trend."",
    ""Zero drift suggests accurate initial planning; maintain this accuracy in future sprints.""
  ],
  ""action_items"": [
    ""Implement scope freeze in planning to reduce punt rate."",
    ""Retrospective on issue triaging to improve estimation accuracy."",
    ""Discuss punt reasons in retro meeting to identify areas for improvement.""
  ]
}"
94,60,21,83.0,18,13,Sprint 56,CLOSED,-0.18181818181818182,"{
  ""summary"": ""Sprint 56 delivered 35% more issues than planned, with a high velocity of 83 points."",
  ""key_insights"": [
    ""High velocity (83 points) indicates strong team performance; however, drift (-0.2) suggests overestimation."",
    ""18 issues punted—review estimation for these tasks to improve accuracy."",
    ""Completion rate (35%) is lower than expected; discuss scope and prioritization in the next sprint.""
  ],
  ""action_items"": [
    ""Re-evaluate estimation for high-priority tasks to prevent overestimation."",
    ""Implement scope freeze in planning to reduce punt rate."",
    ""Review and refine prioritization to meet sprint goals.""
  ]
}"
95,59,28,83.0,15,15,Sprint 57,CLOSED,0.0,"{
  ""summary"": ""Sprint 57 achieved 47% completion on 28/59 issues, with a velocity of 83 points."",
  ""key_insights"": [
    ""Velocity maintained at 83 points, indicating stable team performance."",
    ""15 issues punted—review estimation for high-priority tasks."",
    ""Zero drift suggests accurate initial planning; however, high punt rate may indicate scope creep.""
  ],
  ""action_items"": [
    ""Review and refine estimation for high-priority tasks to reduce punt rate."",
    ""Implement scope freeze in planning to prevent scope creep."",
    ""Document lessons learned from Sprint 57 to improve future planning.""
  ]
}"
96,59,21,69.0,19,11,Sprint 58,CLOSED,0.038461538461538464,"{
  ""summary"": ""Sprint 58 achieved 36% completion on 21/59 issues, with a strong velocity of 69.0 points."",
  ""key_insights"": [
    ""Strong velocity (69.0 points) despite short sprint; high punt rate (32%) indicates scope creep."",
    ""Zero drift shows accurate planning; however, many issues were punted.""
  ],
  ""action_items"": [
    ""Implement scope freeze in planning to reduce punt rate."",
    ""Review and refine estimation for future sprints.""
  ]
}"
98,59,17,41.0,21,11,Sprint 59,CLOSED,-0.038461538461538464,"{
  ""summary"": ""Sprint 59 completed 29% of issues, achieving 41.0 points velocity with neutral drift."",
  ""key_insights"": [
    ""High punt rate (35.6%) from potential scope or estimation issues."",
    ""Velocity increased by 10.0 points compared to previous sprint."",
    ""Completion rate lower than expected, indicating potential process improvements.""
  ],
  ""action_items"": [
    ""Review estimation process to identify potential scope creep."",
    ""Improve issue prioritization and triaging to reduce punt rate."",
    ""Analyze velocity trends to refine planning and estimation.""
  ]
}"
99,70,27,78.0,21,11,Sprint 60,CLOSED,0.02631578947368421,"{
  ""summary"": ""Sprint 60 achieved 39% completion rate on 27/70 issues, with a high velocity of 78.0 points."",
  ""key_insights"": [
    ""High velocity (78.0 points) indicates strong team performance."",
    ""21 punted issues suggest scope creep or inaccurate estimation."",
    ""Zero drift indicates accurate planning and estimation.""
  ],
  ""action_items"": [
    ""Review estimation for high-priority tasks to prevent scope creep."",
    ""Implement scope freeze in planning to reduce punt rate."",
    ""Discuss punt reasons in retro meeting to improve estimation accuracy.""
  ]
}"
101,64,14,33.0,24,11,Sprint 61,CLOSED,0.0,"{
  ""summary"": ""Sprint 61 achieved 22% completion rate with 33 points velocity; zero drift indicates accurate planning."",
  ""key_insights"": [
    ""High punt rate (24 issues) from added scope; review estimation for future sprints."",
    ""Strong velocity (33 points) maintained despite short sprint."",
    ""Zero drift shows accurate planning; refine estimation techniques.""
  ],
  ""action_items"": [
    ""Implement scope freeze in planning to prevent scope creep."",
    ""Retrospective on issue triaging to improve estimation accuracy."",
    ""Discuss punt reasons in retro meeting to identify areas for improvement.""
  ]
}"
102,58,12,28.0,23,11,Sprint 62,CLOSED,0.0,"{
  ""summary"": ""Sprint 62 achieved 21% completion rate on 58 issues, with a high velocity of 28 points."",
  ""key_insights"": [
    ""Strong velocity (28 points) despite short sprint; drift at 0.0 indicates accurate planning."",
    ""High punt rate (23 issues) from added scope; review estimation for future tasks.""
  ],
  ""action_items"": [
    ""Implement scope freeze in planning to reduce punt rate."",
    ""Retrospective on issue triaging to improve estimation accuracy.""
  ]
}"
103,79,5,14.0,37,12,Sprint 63,CLOSED,0.0,"{
  ""summary"": ""Sprint 103 underperformed with only 6.3% completion on 5/79 issues; velocity low at 14 points amid high scope."",
  ""key_insights"": [
    ""High punt rate (47%) from added scope; drift 0.0 due to accurate estimation."",
    ""Low completion rate indicates scope creep or estimation issues.""
  ],
  ""action_items"": [
    ""Implement scope freeze in planning to prevent scope creep."",
    ""Retrospective on issue triaging to identify estimation accuracy.""
  ]
}"
106,8,1,1.0,3,7,Sprint 64,CLOSED,0.0,"{
  ""summary"": ""Sprint 64 underperformed with 12.5% completion; low velocity at 1.0 point amid high punt rate."",
  ""key_insights"": [
    ""Low completion rate (1/8) indicates poor planning or execution."",
    ""High punt rate (3/8) suggests inaccurate estimation."",
    ""Zero drift shows no change in story point accuracy.""
  ],
  ""action_items"": [
    ""Review estimation process for accuracy."",
    ""Improve planning to avoid scope creep."",
    ""Retrospective on issue prioritization.""
  ]
}"
107,11,9,16.0,1,12,Sprint 67,CLOSED,0.0,"{
  ""summary"": ""Sprint 67 achieved 82% completion with a strong velocity of 16 points."",
  ""key_insights"": [
    ""High completion rate with only 1 punt; indicates accurate estimation."",
    ""Zero drift suggests consistent story point estimation."",
    ""Strong velocity maintained despite short sprint length.""
  ],
  ""action_items"": [
    ""Maintain accurate estimation for future sprints."",
    ""Review punt reasons to prevent similar issues in future.""
  ]
}"
108,7,7,10.0,0,11,Sprint 68,CLOSED,0.0,"{
  ""summary"": ""Sprint 108 achieved 100% completion on 7 issues."",
  ""key_insights"": [
    ""Zero drift indicates accurate planning."",
    ""Small team (7 issues) maintained high velocity at 10 points.""
  ],
  ""action_items"": [
    ""Scale similar planning to future sprints."",
    ""Document best practices for issue prioritization.""
  ]
}"
